win,lose,probability
Memphis Grizzlies,Denver Nuggets,0.5448924256792854
Portland Trail Blazers,Phoenix Suns,0.822297070374274
Sacramento Kings,New Orleans Pelicans,0.5547160010158066
Atlanta Hawks,Chicago Bulls,0.7372692438591482
Charlotte Hornets,Utah Jazz,0.6810528511497456
Golden State Warriors,Dallas Mavericks,0.9235653869072927
Indiana Pacers,Philadelphia 76ers,0.9131137694179213
Los Angeles Clippers,Portland Trail Blazers,0.5830055859118839
New York Knicks,Brooklyn Nets,0.652594469765879
Oklahoma City Thunder,Toronto Raptors,0.6811706583001561
Orlando Magic,Minnesota Timberwolves,0.549992803022359
Detroit Pistons,Phoenix Suns,0.7983194797298454
San Antonio Spurs,Houston Rockets,0.8894255555012619
Boston Celtics,Washington Wizards,0.5391040938805015
Golden State Warriors,Denver Nuggets,0.9040635953773042
Miami Heat,Chicago Bulls,0.7367327498374499
Milwaukee Bucks,New Orleans Pelicans,0.5079668766937924
Sacramento Kings,Los Angeles Lakers,0.7284696854736611
Boston Celtics,New York Knicks,0.8073175413712673
Toronto Raptors,Charlotte Hornets,0.5012533869714226
Oklahoma City Thunder,Los Angeles Clippers,0.7305571711338775
Utah Jazz,Orlando Magic,0.5613790273000518
Indiana Pacers,Philadelphia 76ers,0.9193595938097258
Portland Trail Blazers,Sacramento Kings,0.7199249639970152
San Antonio Spurs,Detroit Pistons,0.8851397880665157
Cleveland Cavaliers,Washington Wizards,0.6919896272088802
Atlanta Hawks,Philadelphia 76ers,0.9321369832222879
Chicago Bulls,Washington Wizards,0.5664529165775855
Detroit Pistons,Denver Nuggets,0.6755620999312997
San Antonio Spurs,Houston Rockets,0.7559071394684429
Indiana Pacers,Boston Celtics,0.5409396176455059
Miami Heat,Utah Jazz,0.6965127368406827
Memphis Grizzlies,Milwaukee Bucks,0.5888170119150727
Los Angeles Clippers,Minnesota Timberwolves,0.7567961752833265
New Orleans Pelicans,Los Angeles Lakers,0.6714318034960599
Brooklyn Nets,Phoenix Suns,0.5090204915077741
Toronto Raptors,New York Knicks,0.8714536498045518
Cleveland Cavaliers,Charlotte Hornets,0.8076111061292096
Golden State Warriors,Phoenix Suns,0.967145467384342
Minnesota Timberwolves,Los Angeles Lakers,0.6935717937025497
Oklahoma City Thunder,Orlando Magic,0.8708492598688774
Portland Trail Blazers,Denver Nuggets,0.7140928297637891
Oklahoma City Thunder,Detroit Pistons,0.7120007692321948
Houston Rockets,Philadelphia 76ers,0.8804147259044746
Indiana Pacers,Orlando Magic,0.7214147967054761
Los Angeles Clippers,Brooklyn Nets,0.9054576063368449
Boston Celtics,New Orleans Pelicans,0.7528227945558592
Dallas Mavericks,New York Knicks,0.61251955059344
San Antonio Spurs,Miami Heat,0.8671143582779707
Utah Jazz,Memphis Grizzlies,0.6370339743157898
Cleveland Cavaliers,Toronto Raptors,0.7392843088238586
Brooklyn Nets,Los Angeles Lakers,0.6011413829732686
Miami Heat,Atlanta Hawks,0.6247749928908805
Charlotte Hornets,Minnesota Timberwolves,0.7273420313821946
Portland Trail Blazers,Chicago Bulls,0.6753505482866256
Atlanta Hawks,Milwaukee Bucks,0.8008063101989599
Boston Celtics,Dallas Mavericks,0.7056324739656699
Denver Nuggets,Phoenix Suns,0.6006950106293188
Cleveland Cavaliers,Indiana Pacers,0.6197707143078329
Los Angeles Clippers,Memphis Grizzlies,0.791222671260561
Detroit Pistons,New York Knicks,0.6702409385489808
Oklahoma City Thunder,Houston Rockets,0.8055955380701353
Orlando Magic,New Orleans Pelicans,0.6017693282178221
Washington Wizards,Philadelphia 76ers,0.8953314711853377
San Antonio Spurs,Sacramento Kings,0.8557114776669731
Golden State Warriors,Toronto Raptors,0.6000462238615201
Portland Trail Blazers,Houston Rockets,0.6268301701595536
Miami Heat,Milwaukee Bucks,0.8003644271423344
Minnesota Timberwolves,Philadelphia 76ers,0.7643384246447119
Utah Jazz,Chicago Bulls,0.6206167263768184
Washington Wizards,New York Knicks,0.7131415033577214
Golden State Warriors,Boston Celtics,0.708241207502724
Charlotte Hornets,Atlanta Hawks,0.6077189015725544
Cleveland Cavaliers,Detroit Pistons,0.8404900830901584
Dallas Mavericks,Memphis Grizzlies,0.6313843055833954
Toronto Raptors,Denver Nuggets,0.7946323776464914
Indiana Pacers,Phoenix Suns,0.826869085348678
San Antonio Spurs,Los Angeles Lakers,0.9500844882469366
Portland Trail Blazers,New Orleans Pelicans,0.8085467328607295
Oklahoma City Thunder,Brooklyn Nets,0.9381107790907134
Los Angeles Clippers,Sacramento Kings,0.7241603507804033
Boston Celtics,Detroit Pistons,0.5344510540856222
Houston Rockets,Utah Jazz,0.5522804852696267
Los Angeles Clippers,Chicago Bulls,0.7793640389294298
Memphis Grizzlies,Minnesota Timberwolves,0.5612626060090609
Golden State Warriors,Milwaukee Bucks,0.9073330364587696
Charlotte Hornets,New Orleans Pelicans,0.7471334466396419
Dallas Mavericks,Orlando Magic,0.5347942202896504
Phoenix Suns,Philadelphia 76ers,0.771274533149698
Miami Heat,Washington Wizards,0.5163503148593873
Portland Trail Blazers,Brooklyn Nets,0.8998310961091855
Utah Jazz,Denver Nuggets,0.6432389123350593
Chicago Bulls,Los Angeles Lakers,0.8033951980362237
Atlanta Hawks,New York Knicks,0.7080959914222903
Oklahoma City Thunder,Indiana Pacers,0.786245529360638
Toronto Raptors,Sacramento Kings,0.7691446090040079
Charlotte Hornets,Memphis Grizzlies,0.7363864051171213
Detroit Pistons,Houston Rockets,0.5405343047905192
Golden State Warriors,Indiana Pacers,0.7480007127805613
Los Angeles Clippers,Toronto Raptors,0.5744491151682051
Orlando Magic,Milwaukee Bucks,0.5602137358362425
Boston Celtics,Minnesota Timberwolves,0.733317730518423
Miami Heat,Philadelphia 76ers,0.9257854642100697
San Antonio Spurs,Dallas Mavericks,0.9083280588297614
Washington Wizards,Phoenix Suns,0.7760398913525732
Atlanta Hawks,New Orleans Pelicans,0.816545764701522
Chicago Bulls,Denver Nuggets,0.5965572897492442
Oklahoma City Thunder,Los Angeles Lakers,0.9412943103158674
Portland Trail Blazers,New York Knicks,0.7847905345435252
Boston Celtics,Brooklyn Nets,0.8662821748801802
San Antonio Spurs,Charlotte Hornets,0.6414456944904346
Cleveland Cavaliers,Portland Trail Blazers,0.7459919803123928
Los Angeles Clippers,Dallas Mavericks,0.5636108665376958
Miami Heat,Detroit Pistons,0.5116756376570719
Golden State Warriors,Los Angeles Lakers,0.9783567163092106
Toronto Raptors,Houston Rockets,0.6350026244607285
Indiana Pacers,Atlanta Hawks,0.5609222766663269
Minnesota Timberwolves,New Orleans Pelicans,0.5657818095600277
Orlando Magic,Phoenix Suns,0.6794076749997442
Memphis Grizzlies,Philadelphia 76ers,0.8748651196237298
Oklahoma City Thunder,Sacramento Kings,0.8332194862827833
Utah Jazz,Denver Nuggets,0.6626277894339373
San Antonio Spurs,Boston Celtics,0.6395362497269563
Cleveland Cavaliers,Dallas Mavericks,0.8713825482939817
Oklahoma City Thunder,Denver Nuggets,0.8529851926001049
Los Angeles Clippers,Detroit Pistons,0.5650531299254653
Indiana Pacers,Brooklyn Nets,0.8534003902291883
Golden State Warriors,Los Angeles Lakers,0.9630209814862829
Miami Heat,Memphis Grizzlies,0.6251494364329906
Toronto Raptors,Milwaukee Bucks,0.8008094762155689
Charlotte Hornets,New York Knicks,0.7184107879127125
Washington Wizards,Orlando Magic,0.544834882868633
Chicago Bulls,Philadelphia 76ers,0.8823655556637271
Minnesota Timberwolves,Phoenix Suns,0.6866320877854469
Portland Trail Blazers,New Orleans Pelicans,0.7674164748117083
Houston Rockets,Sacramento Kings,0.6320458110450036
Atlanta Hawks,Utah Jazz,0.5067553611447657
Charlotte Hornets,New York Knicks,0.8060243067879016
Golden State Warriors,Minnesota Timberwolves,0.9443728553078823
Miami Heat,Memphis Grizzlies,0.7501481446808945
Oklahoma City Thunder,Detroit Pistons,0.798795616982003
San Antonio Spurs,Washington Wizards,0.7493849350832712
Sacramento Kings,Brooklyn Nets,0.7420987444468723
Dallas Mavericks,New Orleans Pelicans,0.7168941649140258
Indiana Pacers,Los Angeles Clippers,0.5101118574506712
Atlanta Hawks,Los Angeles Lakers,0.8728993466652915
Orlando Magic,Milwaukee Bucks,0.5771455600964842
Cleveland Cavaliers,Philadelphia 76ers,0.9633037925359004
Denver Nuggets,Phoenix Suns,0.7007043073594887
Portland Trail Blazers,Houston Rockets,0.6065976423178518
Golden State Warriors,Atlanta Hawks,0.8873113038502667
Charlotte Hornets,Memphis Grizzlies,0.6393243196006744
Miami Heat,Boston Celtics,0.6056553226737827
Utah Jazz,Minnesota Timberwolves,0.6479089559847121
Oklahoma City Thunder,New York Knicks,0.8499275488538496
Toronto Raptors,Philadelphia 76ers,0.9541121512931585
Washington Wizards,Sacramento Kings,0.6580996188145328
Los Angeles Clippers,Brooklyn Nets,0.8799706075817306
Charlotte Hornets,Detroit Pistons,0.6489924704876882
Cleveland Cavaliers,Milwaukee Bucks,0.8431817452738827
New Orleans Pelicans,Los Angeles Lakers,0.6714318034960599
San Antonio Spurs,Orlando Magic,0.9290201568425777
Utah Jazz,Houston Rockets,0.548029856875364
Boston Celtics,Detroit Pistons,0.6508791685925887
Chicago Bulls,Los Angeles Lakers,0.8357839360259088
San Antonio Spurs,Dallas Mavericks,0.7447404531523802
Miami Heat,Denver Nuggets,0.7109081409131772
Minnesota Timberwolves,New York Knicks,0.5139728969651167
Oklahoma City Thunder,Washington Wizards,0.8305771375867093
Atlanta Hawks,Phoenix Suns,0.8253038833728017
Portland Trail Blazers,Indiana Pacers,0.5778205639556662
Toronto Raptors,Memphis Grizzlies,0.8200612783909877
Milwaukee Bucks,Brooklyn Nets,0.7127936485968065
Charlotte Hornets,Dallas Mavericks,0.703907064351919
Cleveland Cavaliers,Los Angeles Clippers,0.7825427761371432
Golden State Warriors,Houston Rockets,0.9074847698998986
Memphis Grizzlies,Orlando Magic,0.5460167328852039
Miami Heat,Utah Jazz,0.5041227109052135
Atlanta Hawks,Detroit Pistons,0.6658586333510482
Boston Celtics,Sacramento Kings,0.764375482264471
Cleveland Cavaliers,Chicago Bulls,0.701385942635603
Houston Rockets,Denver Nuggets,0.6660990234570752
Los Angeles Clippers,New Orleans Pelicans,0.7751106549775889
Minnesota Timberwolves,New York Knicks,0.5294338432819079
Orlando Magic,Philadelphia 76ers,0.8614791437734922
San Antonio Spurs,Washington Wizards,0.9049063208847642
Toronto Raptors,Los Angeles Lakers,0.9355254791370605
Charlotte Hornets,Minnesota Timberwolves,0.769593403651977
Dallas Mavericks,Chicago Bulls,0.6148660107636599
Golden State Warriors,Phoenix Suns,0.967145467384342
Memphis Grizzlies,Los Angeles Lakers,0.7730505701879881
Milwaukee Bucks,Brooklyn Nets,0.6383024427160265
Boston Celtics,Philadelphia 76ers,0.9318203794747442
Portland Trail Blazers,Miami Heat,0.5557245354535096
Toronto Raptors,Atlanta Hawks,0.7165121356027209
Utah Jazz,Denver Nuggets,0.6626277894339373
Detroit Pistons,Orlando Magic,0.6568620578390849
Los Angeles Clippers,Indiana Pacers,0.6991621337867882
Sacramento Kings,New York Knicks,0.5387623867633031
Oklahoma City Thunder,New Orleans Pelicans,0.8986567962486347
Oklahoma City Thunder,Atlanta Hawks,0.5830349453529182
Washington Wizards,Brooklyn Nets,0.8021648530611272
Portland Trail Blazers,Chicago Bulls,0.6290341800232842
Charlotte Hornets,Dallas Mavericks,0.5254316120052878
Golden State Warriors,Indiana Pacers,0.8969793736759981
Boston Celtics,Houston Rockets,0.5477965178564966
Utah Jazz,Los Angeles Lakers,0.8328497585231851
San Antonio Spurs,Milwaukee Bucks,0.8773952844354721
Memphis Grizzlies,New Orleans Pelicans,0.6090706731086125
Denver Nuggets,Philadelphia 76ers,0.8620193967698102
Toronto Raptors,Cleveland Cavaliers,0.5482852590677505
Detroit Pistons,Chicago Bulls,0.6134759352581789
Memphis Grizzlies,Philadelphia 76ers,0.8299622667640659
Miami Heat,New York Knicks,0.8170538231858924
San Antonio Spurs,Minnesota Timberwolves,0.8754596490803261
Utah Jazz,Phoenix Suns,0.7844296090352529
Washington Wizards,Orlando Magic,0.6526318376162007
Atlanta Hawks,Miami Heat,0.6278876517485016
Denver Nuggets,Brooklyn Nets,0.7475615487429365
Charlotte Hornets,Detroit Pistons,0.6489924704876882
Dallas Mavericks,Sacramento Kings,0.6636084801097492
Houston Rockets,Los Angeles Lakers,0.8370745981528677
Golden State Warriors,Los Angeles Clippers,0.6433902141919112
Portland Trail Blazers,Milwaukee Bucks,0.7951518841031591
Cleveland Cavaliers,New York Knicks,0.8347448826619426
Boston Celtics,Orlando Magic,0.6566546367451267
Indiana Pacers,Phoenix Suns,0.810331682381817
San Antonio Spurs,Chicago Bulls,0.7576435514460934
Portland Trail Blazers,Memphis Grizzlies,0.7170033640380427
New Orleans Pelicans,Philadelphia 76ers,0.745434794405463
Toronto Raptors,Minnesota Timberwolves,0.8449472564320835
Golden State Warriors,Utah Jazz,0.7957445285207352
Washington Wizards,Denver Nuggets,0.6516030931179716
Boston Celtics,Toronto Raptors,0.5008197326427409
Charlotte Hornets,Orlando Magic,0.7584715821677709
Cleveland Cavaliers,Miami Heat,0.8169070336277735
Dallas Mavericks,Indiana Pacers,0.5122875581764506
Phoenix Suns,Los Angeles Lakers,0.6475183345965013
Atlanta Hawks,Milwaukee Bucks,0.720836348539035
Detroit Pistons,Minnesota Timberwolves,0.6800195083705636
Oklahoma City Thunder,Houston Rockets,0.8055955380701353
Sacramento Kings,New York Knicks,0.5562378082711985
Miami Heat,Chicago Bulls,0.5274457383891
Cleveland Cavaliers,Charlotte Hornets,0.8076111061292096
Houston Rockets,Dallas Mavericks,0.5786533128026957
Portland Trail Blazers,Indiana Pacers,0.5405965550526923
Los Angeles Clippers,New Orleans Pelicans,0.8485480737874603
Golden State Warriors,Memphis Grizzlies,0.8646989038382321
Orlando Magic,Denver Nuggets,0.5335515876927217
San Antonio Spurs,Brooklyn Nets,0.967129851648199
Utah Jazz,Sacramento Kings,0.6690231596429942
Washington Wizards,Milwaukee Bucks,0.6905627292851017
Detroit Pistons,Philadelphia 76ers,0.8859589446400932
New York Knicks,Los Angeles Lakers,0.7191387752639267
Golden State Warriors,Minnesota Timberwolves,0.9058193122854372
Oklahoma City Thunder,Boston Celtics,0.7541971886061022
New Orleans Pelicans,Phoenix Suns,0.6392751578346396
Dallas Mavericks,Denver Nuggets,0.6571620988792691
Houston Rockets,Brooklyn Nets,0.8030751565615446
Indiana Pacers,Charlotte Hornets,0.5484644466872333
Los Angeles Clippers,Portland Trail Blazers,0.5830055859118839
Miami Heat,Washington Wizards,0.7104734459425596
Sacramento Kings,Los Angeles Lakers,0.7284696854736611
Toronto Raptors,Milwaukee Bucks,0.8588697125836581
Atlanta Hawks,Orlando Magic,0.7719258996326641
Chicago Bulls,Minnesota Timberwolves,0.65652754072011
Cleveland Cavaliers,Memphis Grizzlies,0.8884034888037938
Golden State Warriors,New Orleans Pelicans,0.9141841208926881
New York Knicks,Phoenix Suns,0.6378527140275236
Oklahoma City Thunder,Portland Trail Blazers,0.6535277336034309
Los Angeles Lakers,Brooklyn Nets,0.5100202837436763
Dallas Mavericks,Detroit Pistons,0.5313346125151901
Houston Rockets,Sacramento Kings,0.6501734523966409
Cleveland Cavaliers,Memphis Grizzlies,0.7782463760825713
Miami Heat,Indiana Pacers,0.6480326314862107
Los Angeles Clippers,Orlando Magic,0.6839737681605162
Toronto Raptors,Philadelphia 76ers,0.9515224140851067
San Antonio Spurs,Boston Celtics,0.856235643261872
Oklahoma City Thunder,Utah Jazz,0.7057645441339517
Charlotte Hornets,Washington Wizards,0.5315565058930214
Portland Trail Blazers,Denver Nuggets,0.7888455992730445
Golden State Warriors,New York Knicks,0.9547917662089611
Chicago Bulls,Milwaukee Bucks,0.6057361491549726
Indiana Pacers,New Orleans Pelicans,0.7175634557242744
San Antonio Spurs,Phoenix Suns,0.9290430579615363
Boston Celtics,Charlotte Hornets,0.5976273378246388
Chicago Bulls,Milwaukee Bucks,0.680980750348701
Houston Rockets,New Orleans Pelicans,0.7046400918582593
Memphis Grizzlies,Sacramento Kings,0.5520107343656294
Miami Heat,Los Angeles Clippers,0.5757651714046064
Orlando Magic,Brooklyn Nets,0.7209092794248363
Los Angeles Lakers,Philadelphia 76ers,0.6871012436335748
Toronto Raptors,Atlanta Hawks,0.7165121356027209
Utah Jazz,Dallas Mavericks,0.5989798059500817
Washington Wizards,Detroit Pistons,0.5252094087971466
Atlanta Hawks,Charlotte Hornets,0.6135349980074711
Cleveland Cavaliers,Los Angeles Lakers,0.9620432400636485
Denver Nuggets,New York Knicks,0.5190699108910871
Detroit Pistons,Indiana Pacers,0.5108218001897048
Golden State Warriors,Portland Trail Blazers,0.8396890647255643
Houston Rockets,Minnesota Timberwolves,0.6706230552304602
Oklahoma City Thunder,Phoenix Suns,0.9255731674711649
Dallas Mavericks,Sacramento Kings,0.6636084801097492
Utah Jazz,Memphis Grizzlies,0.5501098177244235
Miami Heat,Boston Celtics,0.6056553226737827
Toronto Raptors,Orlando Magic,0.7330962137875933
Brooklyn Nets,Philadelphia 76ers,0.7345041772241226
San Antonio Spurs,New Orleans Pelicans,0.9450925718085503
Los Angeles Clippers,Washington Wizards,0.5696465959216184
Chicago Bulls,Detroit Pistons,0.5141098483234374
Dallas Mavericks,Denver Nuggets,0.618241611050782
Indiana Pacers,Washington Wizards,0.653107035314553
Minnesota Timberwolves,Phoenix Suns,0.5957894214268599
Oklahoma City Thunder,Atlanta Hawks,0.7688633610552683
Charlotte Hornets,Los Angeles Lakers,0.8989258517344672
Golden State Warriors,Utah Jazz,0.91563363317465
San Antonio Spurs,Houston Rockets,0.7559071394684429
Los Angeles Clippers,Denver Nuggets,0.8092005697234135
Boston Celtics,Memphis Grizzlies,0.6462909582191385
Miami Heat,Orlando Magic,0.7714382351505624
Cleveland Cavaliers,Milwaukee Bucks,0.8431817452738827
Indiana Pacers,New York Knicks,0.6868896092422379
New Orleans Pelicans,Philadelphia 76ers,0.8254518365507414
Portland Trail Blazers,Sacramento Kings,0.7628539766709248
Toronto Raptors,Brooklyn Nets,0.9201100824348989
Atlanta Hawks,Minnesota Timberwolves,0.7826057545838444
Chicago Bulls,Washington Wizards,0.5664529165775855
Cleveland Cavaliers,Milwaukee Bucks,0.9140176053074729
Detroit Pistons,Memphis Grizzlies,0.6300179750495328
Oklahoma City Thunder,New Orleans Pelicans,0.8677055862813112
Houston Rockets,Phoenix Suns,0.7913309777713902
Portland Trail Blazers,Dallas Mavericks,0.6551004263232751
Utah Jazz,Sacramento Kings,0.6690231596429942
Golden State Warriors,Brooklyn Nets,0.9577338128583123
Indiana Pacers,Boston Celtics,0.5409396176455059
San Antonio Spurs,Los Angeles Clippers,0.568713416121265
Miami Heat,Los Angeles Lakers,0.9052936316856274
Orlando Magic,New York Knicks,0.5447723140994942
Oklahoma City Thunder,Boston Celtics,0.5991325429124452
Charlotte Hornets,Chicago Bulls,0.7225054347642837
Cleveland Cavaliers,Brooklyn Nets,0.9526471322813412
Atlanta Hawks,Denver Nuggets,0.7130678103799533
Golden State Warriors,Detroit Pistons,0.8006124363452636
Los Angeles Clippers,Dallas Mavericks,0.763328163551114
Houston Rockets,Memphis Grizzlies,0.5749945100156137
Washington Wizards,Milwaukee Bucks,0.6366364936524356
Sacramento Kings,Minnesota Timberwolves,0.5498210675895876
Miami Heat,New Orleans Pelicans,0.7354422557251803
Orlando Magic,Los Angeles Lakers,0.7649425913805527
Phoenix Suns,Philadelphia 76ers,0.6352140610300812
San Antonio Spurs,Portland Trail Blazers,0.6912739947573248
Toronto Raptors,Utah Jazz,0.6153294161595433
Cleveland Cavaliers,Golden State Warriors,0.5379557918273724
Los Angeles Clippers,Los Angeles Lakers,0.8939077797751824
Boston Celtics,New York Knicks,0.7245080883366313
Oklahoma City Thunder,Minnesota Timberwolves,0.8776312212254381
San Antonio Spurs,Chicago Bulls,0.9156253210237078
Charlotte Hornets,Brooklyn Nets,0.8627281605502515
Indiana Pacers,Chicago Bulls,0.5049719387974176
Cleveland Cavaliers,Detroit Pistons,0.6879867580008936
Houston Rockets,Phoenix Suns,0.7698918783586561
Los Angeles Clippers,Denver Nuggets,0.8092005697234135
Atlanta Hawks,Minnesota Timberwolves,0.7172256194672142
Dallas Mavericks,New Orleans Pelicans,0.6467320352265228
Orlando Magic,Memphis Grizzlies,0.5054736462568337
Toronto Raptors,Portland Trail Blazers,0.5571124626305051
Sacramento Kings,Philadelphia 76ers,0.7935756446514005
Washington Wizards,Milwaukee Bucks,0.6905627292851017
Boston Celtics,Memphis Grizzlies,0.7379929973125273
Dallas Mavericks,Houston Rockets,0.5419908582170654
Utah Jazz,Los Angeles Lakers,0.8328497585231851
Oklahoma City Thunder,Miami Heat,0.5837076694600214
Atlanta Hawks,New York Knicks,0.8174671899939744
Chicago Bulls,Brooklyn Nets,0.8015790015677259
Minnesota Timberwolves,Denver Nuggets,0.5354523105303413
Detroit Pistons,Milwaukee Bucks,0.6945472234091079
Golden State Warriors,Toronto Raptors,0.8349081092992563
Los Angeles Clippers,New Orleans Pelicans,0.7751106549775889
Charlotte Hornets,Orlando Magic,0.6497815087595857
Portland Trail Blazers,Sacramento Kings,0.7199249639970152
San Antonio Spurs,Phoenix Suns,0.9602216943326705
Washington Wizards,Indiana Pacers,0.5061447950416295
Charlotte Hornets,Miami Heat,0.6102267960062137
Cleveland Cavaliers,Boston Celtics,0.8028525882486877
Dallas Mavericks,Los Angeles Lakers,0.817365839035212
Oklahoma City Thunder,Memphis Grizzlies,0.7973597003716248
Toronto Raptors,Phoenix Suns,0.8803186345993512
Utah Jazz,Philadelphia 76ers,0.8889767968554806
Atlanta Hawks,Detroit Pistons,0.6658586333510482
Boston Celtics,Miami Heat,0.6121973531574343
Denver Nuggets,Philadelphia 76ers,0.7679950179229348
Golden State Warriors,Dallas Mavericks,0.9235653869072927
Los Angeles Clippers,Houston Rockets,0.5782136671671423
Indiana Pacers,Chicago Bulls,0.6822422999214592
